2393.131088637,1.8035,0
2393.131146989,1.9501,1
2393.13120073,2.1457,2
2393.131252267,1.8719,3
2393.131303267,2.1945,4
2393.131354804,2.0283,5
2393.131452397,1.8035,0
2393.131504267,1.9501,1
2393.131555638,2.1457,2
2393.131607027,1.8719,3
2393.131659083,2.1896,4
2393.131709546,2.0283,5
2393.131795157,1.8035,0
2393.131846657,1.9501,1
2393.131897676,2.1457,2
2393.131948361,1.8719,3
2393.131999176,2.1848,4
2393.132050454,2.0283,5
2393.132135491,1.8035,0
2393.132186547,1.9501,1
2393.132237232,2.1457,2
2393.132287918,1.8719,3
2393.132339233,2.1848,4
2393.132390122,2.0283,5
2393.132484789,1.8035,0
2393.132536048,1.9501,1
2393.132588678,2.1457,2
2393.132640733,1.8719,3
2393.132692511,2.1848,4
2393.132743919,2.0283,5
2393.132844327,1.8035,0
2393.132896271,1.9501,1
2393.13294716,2.1408,2
2393.13299766,1.8719,3
2393.133048142,2.1848,4
2393.133098698,2.0283,5
2393.13319605,1.8035,0
2393.133246772,1.9501,1
2393.133298068,2.1408,2
2393.133348365,1.8719,3
2393.133398735,2.1848,4
2393.133450013,2.0283,5
2393.133547458,1.8035,0
2393.133598569,1.9501,1
2393.133649773,2.1408,2
2393.133699995,1.8719,3
2393.133750514,2.1848,4
2393.133801829,2.0283,5
2393.133885255,1.8035,0
2393.133936144,1.9501,1
2393.133986367,2.1359,2
2393.134036367,1.8671,3
2393.134086367,2.1848,4
2393.134136626,2.0283,5
2393.134208608,1.8035,0
2393.134258849,1.9501,1
2393.134309016,2.1359,2
2393.134359331,1.8671,3
2393.134409479,2.1848,4
2393.134460979,2.0283,5
2393.134538701,1.8035,0
2393.134589479,1.9501,1
2393.134639757,2.1359,2
2393.134689961,1.8671,3
2393.134739998,2.1848,4
2393.134790424,2.0283,5
2393.134870202,1.7937,0
2393.134920702,1.9501,1
2393.134970999,2.1359,2
2393.135021184,1.8671,3
2393.136207428,2.1848,4
2393.136281891,2.0283,5
2393.136398725,1.8084,0
2393.136451781,1.9501,1
2393.136502484,2.1359,2
2393.136552744,1.8719,3
2393.136602725,2.1896,4
2393.136652892,2.0283,5
2393.136727504,1.8035,0
2393.136778263,1.9501,1
2393.136828856,2.1359,2
2393.1368793,1.8719,3
2393.136929615,2.1945,4
2393.136979856,2.0283,5
2393.137051856,1.8035,0
2393.137102393,1.9501,1
2393.137152949,2.1359,2
2393.137203209,1.8719,3
2393.137253412,2.1896,4
2393.137305061,2.0283,5
2393.137381635,1.8035,0
2393.137432191,1.9501,1
2393.137482728,2.1408,2
2393.137533154,1.8719,3
2393.137583024,2.1896,4
2393.13763521,2.0283,5
2393.137729321,1.8084,0
2393.137779729,1.9501,1
