93341.261964866,1.5249,0
93341.262083403,1.784,1
93341.262161514,1.4614,2
93341.262236328,1.0166,3
93341.262309865,2.2825,4
93341.262384846,1.1828,5
93341.262783289,1.5249,0
93341.262891252,1.784,1
93341.262969789,1.4614,2
93341.263044122,1.0166,3
93341.263114936,2.2825,4
93341.26318851,1.1828,5
93341.263537435,1.5249,0
93341.263639342,1.784,1
93341.263714304,1.4614,2
93341.263788637,1.0166,3
93341.263862119,2.2825,4
93341.263948767,1.1828,5
93341.264327062,1.5249,0
93341.264435394,1.7791,1
93341.264511061,1.4614,2
93341.264585005,1.0166,3
93341.264656208,2.2825,4
93341.264726986,1.1828,5
93341.265089614,1.5249,0
93341.265194114,1.7791,1
93341.26526928,1.4614,2
93341.265341873,1.0166,3
93341.265411632,2.2776,4
93341.265481817,1.1828,5
93341.265833982,1.5249,0
93341.265936611,1.7791,1
93341.266009481,1.4614,2
93341.266082352,1.0166,3
93341.266154629,2.2825,4
93341.266224462,1.1828,5
93341.266576905,1.5249,0
93341.266678368,1.7791,1
93341.266753275,1.4565,2
93341.26682533,1.0166,3
93341.266897275,2.2825,4
93341.266969385,1.1779,5
93341.267331977,1.5249,0
93341.267467402,1.7791,1
93341.267552272,1.4565,2
93341.267627772,1.0166,3
93341.267702383,2.2825,4
93341.267776697,1.1779,5
93341.268148974,1.5249,0
93341.268255529,1.7791,1
93341.268330566,1.4565,2
93341.268400566,1.0166,3
93341.268470195,2.2825,4
93341.268538121,1.1779,5
93341.268868138,1.5249,0
93341.268960564,1.7791,1
93341.269033119,1.4614,2
93341.269103896,1.0166,3
93341.269173137,2.2825,4
93341.269243414,1.1779,5
93341.269522969,1.5249,0
93341.269614783,1.7791,1
93341.269691783,1.4565,2
93341.269771209,1.0117,3
93341.269843338,2.2874,4
93341.269912653,1.1779,5
93341.270292837,1.5249,0
93341.270387318,1.7791,1
93341.270459743,1.4614,2
93341.270531317,1.0117,3
93341.270600373,2.2874,4
93341.270668687,1.1779,5
93341.271009223,1.5249,0
93341.271114,1.7791,1
93341.27118637,1.4614,2
93341.271257166,1.0117,3
93341.271327074,2.2874,4
